Organization Name,Organization Name URL,Estimated Revenue Range,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Employees,Last Funding Type,IPO Status,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Number of Funding Rounds,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Number of Lead Investors,Website,Founders,Number of Founders,Region
Horizon3.ai,https://www.crunchbase.com/organization/horizon3-ai,$10M to $50M,"Artificial Intelligence (AI), Cyber Security, Enterprise Software, Machine Learning, Network Security","San Francisco, California, United States",Horizon3.ai offers an autonomous penetration testing platform that helps organizations proactively find and fix security vulnerabilities.,272,11-Oct-19,day,101-250,Series D,Private,Late Stage Venture,22-May-25,100000000,USD,100000000,178500000,USD,178500000,Series D,5,100000000,USD,100000000,178500000,USD,178500000,"Craft Ventures, New Enterprise Associates, SignalFire, Ridge Ventures, 9Yards Capital",5,3,https://www.horizon3.ai,"Anthony Pillitiere, Snehal Antani",2,US
Intercom,https://www.crunchbase.com/organization/intercom,$100M to $500M,"CRM, Marketing Automation, SaaS, Sales Automation","San Francisco, California, United States",Intercom is a software company that creates modern customer service software that redefines how businesses support their customers.,287,1-Aug-11,month,501-1000,Series D,Private,Late Stage Venture,27-Mar-18,125000000,USD,125000000,240750000,USD,240750000,Series D,7,125000000,USD,125000000,240750000,USD,240750000,"Bessemer Venture Partners, Index Ventures, Kleiner Perkins, ICONIQ Growth, 500 Global",32,5,https://www.intercom.com/,"Ciaran Lee, David Barrett, Des Traynor, Eoghan McCabe",4,US
Huntress,https://www.crunchbase.com/organization/huntress,$100M to $500M,"Cyber Security, Information Technology, Security, Software","Columbia, Maryland, United States","Huntress is the enterprise-grade, people-powered cybersecurity solution for all businesses, not just the 1%.",436,1-Aug-15,month,501-1000,Series D,Private,Late Stage Venture,18-Jun-24,150000000,USD,150000000,309760000,USD,309760000,Series D,7,150000000,USD,150000000,269760000,USD,269760000,"Sapphire Ventures, Kleiner Perkins, JMI Equity, Forgepoint Capital, SaaS Ventures",13,7,https://huntress.com,"Chris Bisnett, John Ferrell, Kyle Hanslovan",3,US
Everlaw,https://www.crunchbase.com/organization/everlaw,$50M to $100M,"Cloud Computing, Document Management, Legal, Legal Tech","Oakland, California, United States","Everlaw offers a platform for document analysis to law firms, government, and corporations.",624,28-Oct-10,day,251-500,Series D,Private,Late Stage Venture,2-Nov-21,202000000,USD,202000000,298604995,USD,298604995,Series D,6,202000000,USD,202000000,298604995,USD,298604995,"Andreessen Horowitz, Menlo Ventures, TPG Growth, Ulu Ventures, K9 Ventures",7,4,http://everlaw.com,"AJ Shankar, Jeffrey Friedman",2,US
Persona,https://www.crunchbase.com/organization/persona-188f,,"Cyber Security, Fraud Detection, Identity Management, Information Technology, SaaS","San Francisco, California, United States",Persona is an identity verification and management platform that enables businesses to automate and streamline their verification processes.,627,31-Oct-18,day,251-500,Series D,Private,Late Stage Venture,30-Apr-25,200000000,USD,200000000,417500000,USD,417500000,Series D,5,200000000,USD,200000000,417500000,USD,417500000,"Bond, Founders Fund, Index Ventures, Kleiner Perkins, Coatue",16,5,https://withpersona.com,"Charles Yeh, Rick Song",2,US
PostHog,https://www.crunchbase.com/organization/posthog,$1M to $10M,"Analytics, Developer Platform, Developer Tools, Open Source, Software Engineering","San Francisco, California, United States",PostHog is an open source platform that helps build successful products by providing tools to evaluate feature impact and customer value.,677,23-Jan-20,day,101-250,Series D,Private,Late Stage Venture,9-Jun-25,70000000,USD,70000000,107150000,USD,107150000,Series D,6,70000000,USD,70000000,107150000,USD,107150000,"Y Combinator, SV Angel, 1984 Ventures, Stripe, Liquid 2 Ventures",12,5,https://posthog.com,"James Hawkins, Tim Glaser",2,US
Abnormal AI,https://www.crunchbase.com/organization/abnormal-security,$100M to $500M,"Artificial Intelligence (AI), Cyber Security, Email, Information Technology, Network Security","Las Vegas, Nevada, United States",Abnormal AI is the leading AI-native human behavior security platform.,689,1-Apr-18,month,1001-5000,Series D,Private,Late Stage Venture,6-Aug-24,250000000,USD,250000000,534000000,USD,534000000,Series D,5,250000000,USD,250000000,534000000,USD,534000000,"Menlo Ventures, Wellington Management, Insight Partners, Greylock, Ballistic Ventures",8,5,https://abnormal.ai/,"Evan Reiser, Sanjay Jeyakumar",2,US
Workboard,https://www.crunchbase.com/organization/workboard,$1M to $10M,"Business Intelligence, Enterprise Software, SaaS, Software","Redwood City, California, United States",Workboard provides an enterprise results management platform designed to automate business reviews.,690,11-Feb-13,day,101-250,Series D,Private,Late Stage Venture,4-May-21,75000000,USD,75000000,141550000,USD,141550000,Series D,6,75000000,USD,75000000,140050000,USD,140050000,"Andreessen Horowitz, Floodgate, Workday Ventures, Crosslink Capital, SoftBank Vision Fund",15,7,http://www.workboard.com,"Daryoush Paknad, Deidre Paknad",2,US
Kickstarter,https://www.crunchbase.com/organization/kickstarter,$10M to $50M,"Content Creators, Crowdfunding, Finance, Funding Platform","Brooklyn, New York, United States","Kickstarter is a crowdfunding platform for creative projects such as movies, music, art, theater, games, comics, design, and photography.",739,1-Jan-07,month,51-100,Series D,Private,Late Stage Venture,18-Jan-22,100000000,USD,100000000,110000000,USD,110000000,Series D,2,100000000,USD,100000000,110000000,USD,110000000,"Thrive Capital, Union Square Ventures, a16z crypto, Mercuri, Betaworks",23,1,https://www.kickstarter.com,"Charles Adler, Perry Chen, Yancey Strickler",3,US
AMP,https://www.crunchbase.com/organization/amp-robotics,$1M to $10M,"Artificial Intelligence (AI), Machine Learning, Recycling, Robotics, Waste Management","Louisville, Colorado, United States",AMP utilizes AI-powered sortation to enhance recycling efficiency and reduce costs.,945,1-Jan-15,day,101-250,Series D,Private,Late Stage Venture,5-Dec-24,91000000,USD,91000000,266067503,USD,266067503,Series D,10,91000000,USD,91000000,264465813,USD,264465813,"National Science Foundation, Sequoia Capital, Valor Equity Partners, Wellington Management, Congruent Ventures",18,7,https://ampsortation.com,"James Bailey, Matanya Horowitz",2,US
Nexar,https://www.crunchbase.com/organization/nexar-2,Less than $1M,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Image Recognition, Sensor, Software, Transportation","New York, New York, United States",Nexar develops software to protect the user and their business against car crashes and road casualties.,1004,1-Jan-15,month,101-250,Series D,Private,Late Stage Venture,17-Nov-21,53000000,USD,53000000,149500000,USD,149500000,Series D,7,53000000,USD,53000000,149500000,USD,149500000,"Valor Equity Partners, Slow Ventures, Samsung NEXT, Tusk Venture Partners, True Ventures",24,7,https://getnexar.com/,"Bruno Fernandez-Ruiz, Eran Shir",2,US
ControlUp,https://www.crunchbase.com/organization/controlup-inc,$1M to $10M,"Analytics, Enterprise Software, Information Technology, SaaS, Software, Virtualization","San Jose, California, United States","ControlUp is an IT virtual infrastructure monitoring, management and troubleshooting solution.",1059,31-Jul-08,day,251-500,Series D,Private,Late Stage Venture,10-Nov-21,100000000,USD,100000000,140200000,USD,140200000,Series D,4,100000000,USD,100000000,140200000,USD,140200000,"Jerusalem Venture Partners (JVP), K1 Investment Management",2,2,http://www.controlup.com,"Asaf Ganot, Yoni Avital",2,US
DuckDuckGo,https://www.crunchbase.com/organization/duck-duck-go,$100M to $500M,"Internet, Privacy, Search Engine","Paoli, Pennsylvania, United States","Independent online protection company. Get our browser with protections built-in, including our search engine that doesn’t track you.",1142,29-Feb-08,day,251-500,Series D,Private,Late Stage Venture,17-Aug-21,10350008,USD,10350008,182350008,USD,182350008,Series D,5,10350008,USD,10350008,82350008,USD,82350008,"HOF Capital, Quiet Capital, Union Square Ventures, Thrive Capital, OMERS Ventures",22,3,https://duckduckgo.com,Gabriel Weinberg,1,US
Viome,https://www.crunchbase.com/organization/viome,$1M to $10M,"Dietary Supplements, Health Care, Medical, Wellness","Bellevue, Washington, United States",Viome is a provider of comprehensive health insights designed to help people track their gut microbiome health.,1157,1-Oct-16,day,101-250,Series D,Private,Late Stage Venture,10-Sep-24,25000000,USD,25000000,301004496,USD,301004496,Series D,9,25000000,USD,25000000,278004496,USD,278004496,"Khosla Ventures, Better Health Group, Eastward Capital Partners, Veronorte, Bold Capital Partners",14,5,https://www.viome.com,"John Pinelli, Naveen Jain",2,US
Dashlane,https://www.crunchbase.com/organization/dashlane,$10M to $50M,"Identity Management, Privacy, Security, Software","New York, New York, United States",Dashlane is a leading credential manager that removes complexity by pairing comprehensive security with ease of use.,1442,6-Jul-09,day,251-500,Series D,Private,Late Stage Venture,30-May-19,110000000,USD,110000000,210900000,USD,210900000,Series D,10,110000000,USD,110000000,162400000,USD,162400000,"Sequoia Capital, Bessemer Venture Partners, FirstMark, TransUnion, Hercules Capital",11,7,http://www.dashlane.com,"Alexis Fogel, Bernard Liautaud, Emmanuel Schalit, Guillaume Maron, Jean Guillou",5,US
Papaya Global,https://www.crunchbase.com/organization/papaya-global,$100M to $500M,"Data Integration, Employment, FinTech, Human Resources, Recruiting, SaaS","New York, New York, United States",Papaya Global is a fintech platform that provides cloud-based payroll and payments solutions for global workforce management.,1528,1-Apr-16,month,501-1000,Series D,Private,Late Stage Venture,11-Sep-21,250000000,USD,250000000,444500000,USD,444500000,Series D,8,250000000,USD,250000000,439500000,USD,439500000,"Bessemer Venture Partners, Insight Partners, IVP, Google for Startups, Greenoaks",17,6,https://www.papayaglobal.com,"Eynat Guez, Ofer Herman, Ruben Drong",3,US
Element Biosciences,https://www.crunchbase.com/organization/element-bioscience,$50M to $100M,"Biotechnology, Genetics, Health Diagnostics, Life Science","San Diego, California, United States",Element Biosciences is a life science company that focuses on developing innovative genetic analysis tools.,1532,18-Jul-17,day,251-500,Series D,Private,Late Stage Venture,11-Jul-24,277000000,USD,277000000,678000000,USD,678000000,Series D,5,277000000,USD,277000000,678000000,USD,678000000,"Wellington Management, Venrock, Samsung Electronics, RA Capital Management, Meritech Capital Partners",14,3,https://www.elementbiosciences.com,"Matt Kellinger, Michael Previte, Molly He",3,US
CleverTap,https://www.crunchbase.com/organization/wizrocket-technologies,$100M to $500M,"Analytics, Marketing Automation, Mobile, Real Time, SaaS","San Francisco, California, United States",CleverTap is the all-in-one engagement platform that helps brands unlock limitless CLV by helping them create personalized experiences,1582,24-May-13,day,501-1000,Series D,Private,Late Stage Venture,9-Aug-22,105000000,USD,105000000,181600000,USD,181600000,Series D,6,105000000,USD,105000000,181600000,USD,181600000,"Accel, Peak XV Partners, La Caisse, 360 ONE Asset, Tiger Global Management",8,4,https://clevertap.com,"Anand Jain, Sunil Thomas, Suresh Kondamudi",3,US
Simpplr,https://www.crunchbase.com/organization/simpplr-inc,$1M to $10M,"Collaboration, Enterprise Software, Human Resources, Information Technology, Software","Redwood City, California, United States",Simpplr is an AI-powered employee experience platform that provides personalized experiences that inspire and engage employees.,1604,15-Jul-14,day,251-500,Series D,Private,Late Stage Venture,2-May-23,70000000,USD,70000000,131100000,USD,131100000,Series D,6,70000000,USD,70000000,131100000,USD,131100000,"Norwest Venture Partners, Tola Capital, Sapphire Ventures, Salesforce Ventures, Still Venture Capital",6,3,https://www.simpplr.com,"Dhiraj Sharma, Piyush Rajput",2,US
Hello Heart,https://www.crunchbase.com/organization/hello-doctor,$1M to $10M,"Fitness, Health Care, Medical, mHealth, Wellness","Menlo Park, California, United States",Hello Heart provides cardiovascular digital therapeutics to help people understand and improve their heart health using technology.,1661,5-May-13,day,101-250,Series D,Private,Late Stage Venture,2-May-22,70000000,USD,70000000,138200000,USD,138200000,Series D,7,70000000,USD,70000000,138200000,USD,138200000,"Khosla Ventures, IVP, BlueRun Ventures, Maven Ventures, AAF Management Ltd.",18,5,http://www.helloheart.com,"Maayan Cohen, Ziv Meltzer",2,US
Snappy,https://www.crunchbase.com/organization/snappy-app,$1M to $10M,"Enterprise Software, Gift, Gift Card","New York, New York, United States",Snappy is an all-in-one enterprise gifting platform that allows companies to send gifts to their customers and team members.,2077,1-Aug-15,day,101-250,Series D,Private,Late Stage Venture,15-Apr-24,25000000,USD,25000000,129825000,USD,129825000,Series D,6,25000000,USD,25000000,129825000,USD,129825000,"83North, XRC Ventures, Qumra Capital, Notable Capital, Saban Capital Group",7,5,https://www.snappy.com,"Dvir Cohen, Hani Goldstein",2,US
Ollie,https://www.crunchbase.com/organization/ollie,$10M to $50M,"E-Commerce, Food and Beverage, Pet","Reno, Nevada, United States","Ollie is a pet wellness brand that delivers freshly cooked, human-grade food tailored to each dog’s nutritional needs.",2092,5-Oct-16,day,101-250,Series D,Private,Late Stage Venture,2-Apr-24,21349990,USD,21349990,67933182,USD,67933182,Series D,5,21349990,USD,21349990,67933182,USD,67933182,"Alumni Ventures, Primary Venture Partners, Correlation Ventures, Max Ventures, Lerer Hippeau",13,4,https://www.myollie.com,"Alexandre Douzet, Benjamin Sun, Gabby Slome, Randy Jimenez",4,US
Glia,https://www.crunchbase.com/organization/salemove,$10M to $50M,"Customer Service, Information Technology, InsurTech, Software","New York, New York, United States",Glia is the leader and pioneer of Unified Interaction Management—redefining how companies interact with their customers.,2252,29-May-12,day,251-500,Series D,Private,Late Stage Venture,21-Mar-22,45000000,USD,45000000,152025000,USD,152025000,Series D,6,45000000,USD,45000000,152025000,USD,152025000,"Insight Partners, Tola Capital, (ERA) Entrepreneurs Roundtable Accelerator, Wildcat Capital Management, Temerity Capital Partners",8,2,https://www.glia.com,"Carlos Paniagua, Daniel Michaeli, Justin DiPietro",3,US
Productboard,https://www.crunchbase.com/organization/productboard,$10M to $50M,"Consumer Research, Product Management, Product Research, Software","San Francisco, California, United States",Productboard is a product management system that helps organizations get the right products to market faster.,2347,4-Apr-14,day,501-1000,Series D,Private,Late Stage Venture,2-Feb-22,125000000,USD,125000000,261700000,USD,261700000,Series D,8,125000000,USD,125000000,261300000,USD,261300000,"Sequoia Capital, Bessemer Venture Partners, Craft Ventures, Index Ventures, Kleiner Perkins",15,6,https://www.productboard.com,"Daniel Hejl, Hubert Palan",2,US
Netlify,https://www.crunchbase.com/organization/netlify,$10M to $50M,"Cloud Computing, Developer Platform, Developer Tools, Web Development, Web Hosting","San Francisco, California, United States","Netlify is the modern web development platform for Enterprises to realize the full potential of a scalable, customizable web architecture.",2494,7-Feb-14,day,101-250,Series D,Private,Late Stage Venture,17-Nov-21,105000000,USD,105000000,212100000,USD,212100000,Series D,7,105000000,USD,105000000,212100000,USD,212100000,"Andreessen Horowitz, Menlo Ventures, Bond, Bessemer Venture Partners, EQT Ventures",19,5,https://www.netlify.com,"Christian Bach, Mathias Biilmann Christensen",2,US
Komprise,https://www.crunchbase.com/organization/komprise,$10M to $50M,"Analytics, Big Data, Cloud Data Services, Data Management, Data Storage, Information Technology, SaaS","Campbell, California, United States",Komprise is a provider of unstructured data management and mobility software.,2615,2-Jan-14,day,101-250,Series D,Private,Late Stage Venture,24-Jan-23,37000000,USD,37000000,87699995,USD,87699995,Series D,6,37000000,USD,37000000,87699995,USD,87699995,"Walden International, Celesta Capital, Multiplier Capital, Top Tier Capital Partners, Canaan Partners",9,4,http://komprise.com,"Krishna Subramanian, Kumar K. Goswami, Michael Peercy",3,US
G2,https://www.crunchbase.com/organization/g2-crowd,$100M to $500M,"B2B, Business Intelligence, Consumer Reviews, Enterprise Software, Marketing Automation, Marketplace, Software","Chicago, Illinois, United States","G2 operates a software marketplace for business organizations to research, buy, and manage their software and services.",2750,1-May-12,day,501-1000,Series D,Private,Late Stage Venture,22-Jun-21,157000000,USD,157000000,257572384,USD,257572384,Series D,7,157000000,USD,157000000,257572384,USD,257572384,"Accel, IVP, HubSpot Ventures, Salesforce Ventures, Emergence Capital",22,6,https://www.g2.com,"Godard Abel, Mark Myers, Matt Gorniak, Mike Wheeler, Tim Handorf",5,US
Snorkel AI,https://www.crunchbase.com/organization/snorkel-ai,$10M to $50M,"Artificial Intelligence (AI), Data Collection and Labeling, Enterprise Software, Machine Learning","Redwood City, California, United States",Snorkel AI is an AI platform that accelerates data labeling by using machine learning for faster model training.,3057,1-May-19,month,101-250,Series D,Private,Late Stage Venture,29-May-25,100000000,USD,100000000,235250000,USD,235250000,Series D,7,100000000,USD,100000000,235250000,USD,235250000,"Accel, BlackRock, Lightspeed Venture Partners, Greylock, BNY",15,6,https://www.snorkel.ai/,"Alexander Ratner, Braden Hancock, Chris Re, Henry Ehrenberg, Manas Joglekar, Paroma Varma, Vincent Sunn Chen",7,US
Ladder,https://www.crunchbase.com/organization/ladder-2,$1M to $10M,"Financial Services, FinTech, Insurance, InsurTech, Life Insurance","Palo Alto, California, United States",Ladder is a digital life insurance company that offers flexible term coverage in minutes saving policyholders up to 40%.,3158,7-Apr-15,day,101-250,Series D,Private,Late Stage Venture,4-Oct-21,100000000,USD,100000000,194000000,USD,194000000,Series D,6,100000000,USD,100000000,194000000,USD,194000000,"Lightspeed Venture Partners, 8VC, Geodesic Capital, Inspired Capital Partners, Canaan Partners",16,8,https://www.ladderlife.com,"Jack Dubie, Jamie Hale, Jeff Merkel, Laura Hale",4,US
Housecall Pro,https://www.crunchbase.com/organization/housecall,$1M to $10M,"Apps, Home Improvement, Home Renovation, Information Technology, Mobile, SaaS, Software","Denver, Colorado, United States",Housecall Pro is a developer of a mobile software platform used to connect back-end business operations and homeowners.,3375,1-Jun-13,day,1001-5000,Series D,Private,Late Stage Venture,23-Jun-22,64999998,USD,64999998,175049995,USD,175049995,Series D,9,64999998,USD,64999998,115049995,USD,115049995,"General Catalyst, Headline, Permira, Baird Capital, August Capital",12,8,http://www.housecallpro.com,"Adam Perry-Pelletier, Chris Zwickilton, Ian Heidt, Roland Ligtenberg",4,US
Public,https://www.crunchbase.com/organization/publicdotcom,$10M to $50M,"Cryptocurrency, FinTech, Stock Exchanges, Trading Platform","New York, New York, United States","Public is the investing platform for those who take it seriously—offering stocks, ETFs, options, crypto, bonds & retirement accounts",3376,1-Sep-19,month,101-250,Series D,Private,Late Stage Venture,2-Dec-24,105000000,USD,105000000,443500000,USD,443500000,Series D,9,105000000,USD,105000000,413500000,USD,413500000,"Accel, Greycroft, Lakestar, Inspired Capital Partners, MANTIS Venture Capital",37,3,https://public.com,"Jannick Malling, Leif Abraham, Matt Kennedy, Peter Quinn, Sean Hendelman",5,US
Capsule,https://www.crunchbase.com/organization/capsule-3,$100M to $500M,"Health Care, Pharmaceutical, Retail","New York, New York, United States",Capsule is a healthcare technology business rebuilding the pharmacy from the inside out,3918,1-May-16,month,501-1000,Series D,Private,Late Stage Venture,28-Apr-21,300000000,USD,300000000,570000000,USD,570000000,Series D,5,300000000,USD,300000000,570000000,USD,570000000,"Thrive Capital, M13, TCV, Sound Ventures, G Squared",24,4,https://capsule.com/,Eric Kinariwala,1,US
Proscia,https://www.crunchbase.com/organization/proscia,$1M to $10M,"Artificial Intelligence (AI), Biotechnology, Life Science, Medical","Philadelphia, Pennsylvania, United States",Proscia develops digital pathology software designed to help laboratories and life sciences organizations manage and analyze pathology data.,4526,1-Jul-14,month,101-250,Series D,Private,Late Stage Venture,19-Mar-25,50000000,USD,50000000,130517470,USD,130517470,Series D,8,50000000,USD,50000000,130517470,USD,130517470,"Insight Partners, Fusion Fund, Hitachi Ventures, Scale Venture Partners, Flybridge",18,7,https://www.proscia.com,"Coleman Stavish, David West, Nathan Buchbinder",3,US
Resilience Cyber Risk Solution,https://www.crunchbase.com/organization/resilience-insurance,,"Cyber Security, Insurance, Risk Management, SaaS","New York, New York, United States","Resilience supports companies assess, measure, and manage their cyber risk by balancing risk acceptance, mitigation, and transfer.",4787,1-Oct-16,month,251-500,Series D,Private,Late Stage Venture,7-Aug-23,100000000,USD,100000000,217000000,USD,217000000,Series D,3,100000000,USD,100000000,217000000,USD,217000000,"General Catalyst, Founders Fund, Lightspeed Venture Partners, CRV, Cyber Mentor Fund",10,5,https://www.cyberresilience.com,"Davis Hake, Matthew Hall, Raj Shah, Vishaal Hariprasad",4,US
Forward Networks,https://www.crunchbase.com/organization/forward-networks,$1M to $10M,"Computer, Information Technology, Network Security, Software","Santa Clara, California, United States","Transforming networks to be more agile, reliable, and secure",4856,1-Jul-13,day,101-250,Series D,Private,Late Stage Venture,24-Jan-23,50000000,USD,50000000,112149993,USD,112149993,Series D,4,50000000,USD,50000000,112149993,USD,112149993,"Andreessen Horowitz, Goldman Sachs, SV Angel, S32, Threshold",8,3,http://www.forwardnetworks.com,"Brandon Heller, David Erickson, Nikhil Handigol, Peyman Kazemian",4,US
Hover,https://www.crunchbase.com/organization/hover-3d,$10M to $50M,"3D Technology, Computer Vision, Home Improvement, Mobile Apps, PropTech, Software","San Francisco, California, United States",Hover is a 3D data and technology company for home improvement and property insurance professionals.,4936,1-Mar-11,month,251-500,Series D,Private,Late Stage Venture,17-Nov-20,60000000,USD,60000000,127300000,USD,127300000,Series D,7,60000000,USD,60000000,122100000,USD,122100000,"Menlo Ventures, Guidewire Software, Almaz Capital, Google Ventures, State Farm Ventures",17,7,http://www.hover.to,"A.J. Altman, Ross Hangebrauck",2,US
Fleetio,https://www.crunchbase.com/organization/fleetio,$10M to $50M,"Automotive, Fleet Management, SaaS, Software","Birmingham, Alabama, United States",Fleetio is a fleet maintenance management software that helps businesses manage their fleet operations and optimize maintenance workflows.,5277,1-May-11,day,251-500,Series D,Private,Late Stage Venture,25-Mar-25,450000000,USD,450000000,620075240,USD,620075240,Series D,5,450000000,USD,450000000,620075240,USD,620075240,"Endeavor Catalyst, Bossa Invest, Elephant, Goldman Sachs Alternatives",4,2,http://www.fleetio.com,Tony Summerville,1,US
dbt Labs,https://www.crunchbase.com/organization/dbt-labs,$50M to $100M,"Analytics, Artificial Intelligence (AI), Big Data, Information Technology, Open Source, Software","Philadelphia, Pennsylvania, United States",dbt Labs is a data analytics software company that develops tools for transforming and managing data within cloud data warehouses.,5595,1-May-16,month,501-1000,Series D,Private,Late Stage Venture,24-Feb-22,222000000,USD,222000000,414400000,USD,414400000,Series D,4,222000000,USD,222000000,414400000,USD,414400000,"Andreessen Horowitz, Sequoia Capital, Snowflake, Coatue, ICONIQ Growth",13,3,https://www.getdbt.com,"Connor McArthur, Drew Banin, Tristan Handy",3,US
Clear Labs,https://www.crunchbase.com/organization/clear-labs,$1M to $10M,"Artificial Intelligence (AI), Biotechnology, Health Diagnostics","San Carlos, California, United States",Clear Labs is a biotechnology firm that integrates a genomics system to simplify diagnostics for the clinical and application sectors.,6101,1-Jan-14,month,51-100,Series D,Private,Late Stage Venture,13-Jan-25,30000000,USD,30000000,156475000,USD,156475000,Series D,9,30000000,USD,30000000,156475000,USD,156475000,"Menlo Ventures, Plug and Play, Khosla Ventures, Alumni Ventures, Felicis",26,9,https://www.clearlabs.com,"Mahni Ghorashi, Sasan Amini",2,US
Redox,https://www.crunchbase.com/organization/100health,$10M to $50M,"Data Integration, Electronic Health Record (EHR), Health Care, Information Technology","Madison, Wisconsin, United States",Redox is an EHR integration and healthcare platform that accelerates the development and distribution of healthcare software solutions.,6200,4-Jul-14,day,101-250,Series D,Private,Late Stage Venture,24-Feb-21,45000000,USD,45000000,95000000,USD,95000000,Series D,8,45000000,USD,45000000,92000000,USD,92000000,"Battery Ventures, Adams Street Partners, .406 Ventures, MassChallenge, Flybridge",13,4,https://www.redoxengine.com,"James Lloyd, Luke Bonney, Niko Skievaski",3,US
Phenom,https://www.crunchbase.com/organization/phenom-people,$100M to $500M,"Artificial Intelligence (AI), Human Resources, Machine Learning, Recruiting, SaaS, Software","Ambler, Pennsylvania, United States","Phenom is an HR technology company that uses AI to help businesses hire, develop, and retain employees.",6295,6-Aug-10,day,1001-5000,Series D,Private,Late Stage Venture,7-Apr-21,100000000,USD,100000000,161419000,USD,161419000,Series D,5,100000000,USD,100000000,161419000,USD,161419000,"B Capital, Sierra Ventures, AVP, AllianceBernstein, Dragoneer Investment Group",11,4,https://www.phenom.com,"Brad Goldoor, Hari Bayireddy, Mahe Bayireddi",3,US
Califia Farms,https://www.crunchbase.com/organization/califia-farms-2,$100M to $500M,"Food and Beverage, Nutrition, Organic Food","Bakersfield, California, United States",Califia Farms operates as a natural beverage company.,6676,1-Apr-10,month,101-250,Series D,Private,Late Stage Venture,15-Jan-20,225000000,USD,225000000,340000000,USD,340000000,Series D,5,225000000,USD,225000000,340000000,USD,340000000,"Temasek Holdings, Qatar Investment Authority, Stripes, Partnership Capital Growth Investors, Accord Equipment Finance",8,4,http://www.califiafarms.com/,Greg Steltenpohl,1,US
DigiLens,https://www.crunchbase.com/organization/digilens,$1M to $10M,"Augmented Reality, Manufacturing, Nanotechnology, Virtual Reality, Wearables","Sunnyvale, California, United States",DigiLens is an innovator in holographic waveguide display technology for extended reality (XR).,8013,1-Apr-03,month,51-100,Series D,Private,Late Stage Venture,7-Apr-22,50000000,USD,50000000,160000000,USD,160000000,Series D,7,50000000,USD,50000000,160000000,USD,160000000,"Samsung Electronics, Niantic, Panasonic, Foxconn Technology Group, Bold Capital Partners",16,4,http://www.digilens.com/,Jonathan Waldern,1,US
World View Enterprises,https://www.crunchbase.com/organization/worldview,$10M to $50M,"Aerospace, Military, National Security, Remote Sensing, Space Travel","Tucson, Arizona, United States",World View is a stratospheric exploration company delivering remote sensing and space tourism from the stratosphere.,8023,30-Aug-12,day,51-100,Series D,Private,Late Stage Venture,2-May-24,25000000,USD,25000000,73925985,USD,73925985,Series D,7,25000000,USD,25000000,73925985,USD,73925985,"Norwest Venture Partners, Accel, Space Capital, Canaan Partners, Base Ventures",12,4,https://www.worldview.space,"Alan Stern, Jane Poynter, Taber MacCallum",3,US
ProducePay,https://www.crunchbase.com/organization/produce-pay,$1M to $10M,"Agriculture, AgTech, Farming, Financial Services, Payments","Los Angeles, California, United States",ProducePay is transforming the fresh produce industry through a combination of FinTech services and supply chain integration.,8040,1-Dec-14,day,101-250,Series D,Private,Late Stage Venture,5-Feb-24,38000000,USD,38000000,380900000,USD,380900000,Series D,15,38000000,USD,38000000,105900000,USD,105900000,"Menlo Ventures, International Finance Corporation, 500 Global, FJ Labs, IGNIA",39,8,https://producepay.com,"Ben Dusastre, Pablo Schwarzbeck",2,US
Forethought,https://www.crunchbase.com/organization/forethought-7dc2,$1M to $10M,"Artificial Intelligence (AI), Customer Service, Enterprise Software, Generative AI, Machine Learning, SaaS","San Francisco, California, United States",Forethought is a generative AI suite for customer support automation.,8160,1-Sep-17,month,101-250,Series D,Private,Late Stage Venture,13-May-25,25000000,USD,25000000,117000000,USD,117000000,Series D,5,25000000,USD,25000000,117000000,USD,117000000,"South Park Commons, Neo, 8VC, New Enterprise Associates, Inspired Capital Partners",47,4,https://www.forethought.ai,"Colm Doyle, Deon Nicholas, Gianina Skarlett, Sami Ghoche",4,US
Capacity,https://www.crunchbase.com/organization/capacityai,$10M to $50M,"Artificial Intelligence (AI), Customer Service, Information Services, Machine Learning, Natural Language Processing, SaaS, Software","Saint Louis, Missouri, United States",Capacity is an AI-powered helpdesk that automates support for customers and employees.,8286,2-Jan-17,day,101-250,Series D,Private,Late Stage Venture,16-Oct-24,26000000,USD,26000000,87500000,USD,87500000,Series D,6,26000000,USD,26000000,87500000,USD,87500000,"Rice Park Capital Management, Toloka.vc, TVC Capital, Equity.com, TMC Emerging Technology Fund",6,1,https://capacity.com,"Chris Sims, David Karandish",2,US
